SUMMARY OF fpcalc comparisons on Sun Aug  2 11:09:14 2015

id,total,orig_x86,linux_win.0.9,win_win.0.9,host_x86.0.9,linux_x86.0.9,win_x86.0.9,linux_x86s.0.9,win_x86s.0.9,linux_arm7s.0.9,linux_win.0.11,win_win.0.11,host_x86.0.11,linux_x86.0.11,win_x86.0.11,linux_x86s.0.11,win_x86s.0.11,linux_arm7s.0.11,linux_win.2.7,win_win.2.7,host_x86.2.7,linux_x86.2.7,win_x86.2.7,linux_x86s.2.7,linux_arm7s.2.7,
ffmpeg_version,,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,2.7,2.7,2.7,2.7,2.7,2.7,2.7,
build_platform,,orig,linux,win,host,linux,win,linux,win,linux,linux,win,host,linux,win,linux,win,linux,linux,win,host,linux,win,linux,linux,
exec_platform,total,x86,win,win,x86,x86,x86,x86s,x86s,arm7s,win,win,x86,x86,x86,x86s,x86s,arm7s,win,win,x86,x86,x86,x86s,arm7s,

a1. total_possible,,8577,8577,8577,8577,8577,8577,8577,8577,8577,8577,8577,8577,8577,8577,8577,8577,8577,8577,8577,8577,8577,8577,8577,8577,
a2. missing results,4,4,,,,,,,,,,,,,,,,,,,,,,,,
a3. total compares,205844,8573,8577,8577,8577,8577,8577,8577,8577,8577,8577,8577,8577,8577,8577,8577,8577,8577,8577,8577,8577,8577,8577,8577,8577,

b0. same duration,198137,8573,8577,8577,8577,8577,8577,8577,8577,8577,8577,8577,8577,8577,8577,8577,8577,8577,7476,7476,7476,7476,7476,7476,7476,
b0. same fingerprint_md5,169130,6929,8577,8574,6941,7044,7044,7044,7044,7044,8533,8530,6905,7006,7006,7006,7006,7006,6312,6308,6306,6313,6313,6313,6026,
b0. same stream_md5,193755,,8577,8577,8577,8577,8577,8577,8577,8577,8540,8540,8540,8540,8540,8540,8540,8540,8117,8117,8117,8117,8117,8117,8117,

c1. diff duration,7707,,,,,,,,,,,,,,,,,,1101,1101,1101,1101,1101,1101,1101,
c1. diff fingerprint_md5,36714,1644,,3,1636,1533,1533,1533,1533,1533,44,47,1672,1571,1571,1571,1571,1571,2265,2269,2271,2264,2264,2264,2551,
c1. diff stream_md5,3516,,,,,,,,,,37,37,37,37,37,37,37,37,460,460,460,460,460,460,460,

f0. actual fingerprint comparisons,36714,1644,,3,1636,1533,1533,1533,1533,1533,44,47,1672,1571,1571,1571,1571,1571,2265,2269,2271,2264,2264,2264,2551,
f1. exact match score,11883,583,,,582,550,550,550,550,550,1,1,581,550,550,550,550,550,648,650,650,648,648,648,743,
f2. score within threshold(0.001),21317,1058,,3,1053,981,981,981,981,981,8,11,1055,984,984,984,984,984,1159,1161,1163,1158,1158,1158,1347,
f3. score within threshold(0.01),71,2,,,1,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,7,
f4. score over threshold(0.01),3443,1,,,,,,,,,33,33,33,33,33,33,33,33,454,454,454,454,454,454,454,

g0. bad_score 0.02,7,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,
g0. bad_score 0.03,7,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,
g0. bad_score 0.04,7,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,
g0. bad_score 0.05,93,,,,,,,,,,2,2,2,2,2,2,2,2,11,11,11,11,11,11,11,
g0. bad_score 0.06,298,,,,,,,,,,4,4,4,4,4,4,4,4,38,38,38,38,38,38,38,
g0. bad_score 0.07,791,,,,,,,,,,14,14,14,14,14,14,14,14,97,97,97,97,97,97,97,
g0. bad_score 0.08,293,,,,,,,,,,6,6,6,6,6,6,6,6,35,35,35,35,35,35,35,
g0. bad_score 0.09,7,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,
g0. bad_score 0.10,56,,,,,,,,,,,,,,,,,,8,8,8,8,8,8,8,
g0. bad_score 0.11,231,,,,,,,,,,,,,,,,,,33,33,33,33,33,33,33,
g0. bad_score 0.12,378,,,,,,,,,,,,,,,,,,54,54,54,54,54,54,54,
g0. bad_score 0.13,477,1,,,,,,,,,,,,,,,,,68,68,68,68,68,68,68,
g0. bad_score 0.14,476,,,,,,,,,,,,,,,,,,68,68,68,68,68,68,68,
g0. bad_score 0.15,183,,,,,,,,,,1,1,1,1,1,1,1,1,25,25,25,25,25,25,25,
g0. bad_score 0.16,94,,,,,,,,,,3,3,3,3,3,3,3,3,10,10,10,10,10,10,10,
g0. bad_score 0.17,45,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,

BAD_PERCENT,,0.01%,,,,,,,,,0.38%,0.38%,0.38%,0.38%,0.38%,0.38%,0.38%,0.38%,5.29%,5.29%,5.29%,5.29%,5.29%,5.29%,5.29%,

